id,event_type,event_cause,status,latitude,longitude,corridor,zone,police_station,direction,start_datetime,hour_of_day,day_of_week,is_weekend,month,requires_road_closure,priority,severity_tier,veh_type,description,duration_to_close_min
FKID000001,unplanned,vehicle_breakdown,resolved,12.9218755,77.6451585,ORR East 1,Unknown,HSR Layout,unknown,2024-01-30 04:07:24.173000+00:00,9,1,0,1,False,High,High,heavy_vehicle,starting problem,10.37758925
FKID000003,unplanned,tree_fall,closed,13.0061469,77.5794348,Non-corridor,Unknown,Sadashivanagar,unknown,2024-03-07 17:56:55.061000+00:00,23,3,0,3,True,Low,Low,none,tree fall,9465.174807333333
FKID000004,unplanned,vehicle_breakdown,closed,12.95398,77.5852333,Non-corridor,Unknown,Wilson Garden,unknown,2024-01-30 04:56:32.348000+00:00,10,1,0,1,False,Low,Low,private_bus,[location] ಪೈಪ್ [person] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,38.74983805
FKID000010,unplanned,water_logging,closed,13.0008457,77.6813712,ORR East 2,Unknown,K.R. Pura,unknown,2024-03-07 18:01:40.182000+00:00,23,3,0,3,False,High,High,none,woter logging [person] moment ph [phone],9348.299649083334
FKID000018,unplanned,tree_fall,closed,12.9233517,77.5904883,Non-corridor,Unknown,Jayanagara,unknown,2024-03-07 19:39:29.764000+00:00,1,4,0,3,False,Low,Low,none,ssmrv junction towards 20th main ಬಳಿ ಮರ ಬಿದ್ದಿರುತ್ತೆ,293.3450075
FKID000020,unplanned,vehicle_breakdown,closed,12.9071221,77.6286395,Hosur Road,Unknown,Madiwala,unknown,2024-03-07 19:25:04.302000+00:00,0,4,0,3,False,High,High,heavy_vehicle,ಬೊಮ್ಮನಹಳ್ಳಿ ಟವರ್ಡ್ಸ್ ಸಿಟಿ ಟೆಕ್ನಿಕಲ್ ಪ್ರಾಬ್ಲಮ್ ನಿಂದ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ,27.2487523
FKID000021,unplanned,tree_fall,closed,12.927375,77.5806883,Non-corridor,Unknown,Jayanagara,unknown,2024-03-07 19:45:16.034000+00:00,1,4,0,3,True,Low,Low,none,,2928.5208131000004
FKID000025,unplanned,tree_fall,closed,12.9463911,77.597326,Non-corridor,Unknown,Wilson Garden,unknown,2024-03-07 06:09:19.361000+00:00,11,3,0,3,True,Low,Low,none,no,843.3240253
FKID000028,unplanned,pot_holes,closed,12.9635109,77.6642122,Non-corridor,Unknown,HAL Old Airport,unknown,2024-01-30 08:25:57.212000+00:00,13,1,0,1,False,Low,Low,none,a,9.079776783333333
FKID000033,unplanned,tree_fall,closed,12.92757,77.5832051,Non-corridor,Unknown,Jayanagara,unknown,2024-03-07 20:06:03.523000+00:00,1,4,0,3,False,Low,Low,none,,2907.6902057166667
