id,event_type,event_cause,status,latitude,longitude,corridor,zone,police_station,direction,junction,start_datetime,hour_of_day,day_of_week,is_weekend,month,is_peak_hour,is_night,time_bin,has_vehicle,event_span_km,requires_road_closure,priority,severity_tier,veh_type,description,duration_to_close_min
FKID000000,unplanned,vehicle_breakdown,closed,13.0400041,77.5180991,Tumkur Road,Unknown,Peenya,unknown,unknown,2024-03-07 17:01:48.111000+00:00,22,3,0,3,0,1,night,1,0.0,False,High,High,lcv,s m circle in coming  man track,
FKID000001,unplanned,vehicle_breakdown,resolved,12.9218755,77.6451585,ORR East 1,Unknown,HSR Layout,unknown,unknown,2024-01-30 04:07:24.173000+00:00,9,1,0,1,1,0,morning_rush,1,0.0,False,High,High,heavy_vehicle,starting problem,10.37758925
FKID000002,unplanned,others,closed,12.955622,77.5857083,Non-corridor,Central Zone 2,Wilson Garden,unknown,UrvashiJunction,2023-11-11 06:18:03.343000+00:00,11,5,1,11,0,0,midday,0,0.0,False,Low,Low,none,ಊರ್ವಶಿ ಜಂಕ್ಷನ್ ನಲ್ಲಿ ಒಳಚರಂಡಿ ಚೇಂಬರ್ ಗೆ ಹೊಸದಾಗಿ ಸಿಮೆಂಟ್ ಹಾಕಿದ್ದು ಟ್ರಾಫಿಕ್ ಮೂವ್ಮೆಂಟ್ ಸ್ವಲ್ಪ ನಿಧಾನಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ ಸರ್🙏,
FKID000003,unplanned,tree_fall,closed,13.0061469,77.5794348,Non-corridor,Unknown,Sadashivanagar,unknown,unknown,2024-03-07 17:56:55.061000+00:00,23,3,0,3,0,1,late_night,0,0.013522524910457644,True,Low,Low,none,tree fall,
FKID000004,unplanned,vehicle_breakdown,closed,12.95398,77.5852333,Non-corridor,Unknown,Wilson Garden,unknown,LalbaghMainGateJunc,2024-01-30 04:56:32.348000+00:00,10,1,0,1,1,0,morning_rush,1,0.0,False,Low,Low,private_bus,[location] ಪೈಪ್ [person] ವಾಹನ ಆಫ್ ಆಗಿರುತ್ತದೆ ಸರ್,38.74983805
FKID000005,unplanned,accident,closed,13.0664854,77.5998755,Non-corridor,North Zone 1,Hebbala,unknown,unknown,2023-11-28 03:07:27.292421+00:00,8,1,0,11,1,0,morning_rush,0,0.0,False,Low,Low,none,,
FKID000006,unplanned,vehicle_breakdown,closed,12.9328703,77.4879814,Non-corridor,Unknown,Kengeri,unknown,unknown,2024-01-30 07:26:26.739000+00:00,12,1,0,1,0,0,midday,1,0.0,False,Low,Low,bmtc_bus,ಬಿಎಂಟಿಸಿ ಬಸ್ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,
FKID000007,unplanned,others,closed,12.973175,77.6003961,Non-corridor,Unknown,Cubbon Park,unknown,unknown,2024-01-30 06:05:59.339000+00:00,11,1,0,1,0,0,midday,0,0.0,False,Low,Low,none,ಕಾಫಿ ಡೇ ಇಂದ ರೋಟರಿ ಸರ್ಕಲ್ ವರೆಗೆ ಬಿ ಡಬ್ಲ್ಯೂ ಎಸ್ ಎಸ್ ಬಿ ವರ್ಕ್ ನಡೆಯುತ್ತಿರುತ್ತದೆ ಟ್ರಾಫಿಕ್ ಗೆ ಯಾವುದೇ ಸಮಸ್ಯೆ ಇರುವುದಿಲ್ಲ,
FKID000009,unplanned,vehicle_breakdown,closed,13.0373543,77.6540442,Non-corridor,Unknown,Hennuru,unknown,unknown,2024-01-30 05:25:50.078000+00:00,10,1,0,1,1,0,morning_rush,1,0.0,False,Low,Low,lcv,,
FKID000010,unplanned,water_logging,closed,13.0008457,77.6813712,ORR East 2,Unknown,K.R. Pura,unknown,unknown,2024-03-07 18:01:40.182000+00:00,23,3,0,3,0,1,late_night,0,0.0,False,High,High,none,woter logging [person] moment ph [phone],
FKID000011,unplanned,vehicle_breakdown,closed,12.94457,77.5274017,ORR West 1,Unknown,Byatarayanapura,unknown,MysoreRd-RingRdJunc(Nayandanahallii),2024-01-30 05:21:06.975000+00:00,10,1,0,1,1,0,morning_rush,1,0.0,False,High,High,private_car,,
FKID000012,unplanned,water_logging,active,12.9995223,77.6827499,ORR East 2,Unknown,Mahadevapura,unknown,unknown,2024-03-07 18:00:05.020000+00:00,23,3,0,3,0,1,late_night,0,0.0,False,High,High,none,lorry undar pass woter logging trafick swol moment ph [phone],
FKID000013,unplanned,others,closed,13.0418933,77.594705,ORR North 1,North Zone 1,Hebbala,unknown,HebbalFlyoverJunc,2023-12-26 19:15:28.124000+00:00,0,2,0,12,0,1,late_night,0,0.0,False,High,High,none,starting problem,
FKID000014,unplanned,pot_holes,active,12.975285,77.6256902,Old Madras Road,Unknown,Halasur,unknown,unknown,2024-03-07 19:26:15.604000+00:00,0,4,0,3,0,1,late_night,0,0.0,False,High,High,none,traffic slow moving and accident happening,
